pub_id,scholar_ids,year,title,abstract
11,-30OXPwAAAAJ; ZmPbJo0AAAAJ,2022,The effect of audit committee on audit opinion through earnings management as mediation variable,"This study aims to examine the mediating effect of earnings management on the influence of the audit committee on audit opinion. The research samples are listed companies in the IDX in the sectors of infrastructure, utilities, and transportation for 2011-2017. This selection of industrial sectors due to these sectors obtains many qualified audit opinions in the study period compared to other sectors. This study adds control variables, namely firm size and leverage. We measure audit committee using two approaches, the first is the total score of each component of audit committees including size, independence, expertise, and meeting and the second is the partial score of each attribute of the audit committee. The results show that the audit committee influences the audit opinion and there is a negative significant influence of earning management and audit opinion, but, this study fails to prove the mediating effect of …"
12,GwClxjoAAAAJ,2021,Does the Market React to the Reputation of Capital Expenditure?,"A phenomenon found in several case studies shows that investors are more interested in the projection of firm value than in periodic financial performance. Therefore, this study aims to determine whether the reputation of capital expenditure is an indication of a promising future for a company, so that it responds positively to the market. The research samples used were companies that had the highest increase in shares in their sectors during the Q1 2017 to Q2 2019 period. We used Tobins Q (TQ) and cumulative abnormal return (CAR) as proxies for market response. The findings of this study are, first, that the market responded positively to the reputation of corporate capital expenditure, as seen from asset growth. Second, in the sample group with positive asset growth trends in the last five years, the reputation of capital expenditure, proxied by total assets and total fixed assets, consistently received positive responses from investors. Third, the market responded negatively, or had no response, to capital expenditure made by companies that had a negative growth trend. The results of this study invalidate the findings of previous studies that good financial performance responds positively. This study proves that the capital expenditure of a company is more of a concern to investors than its current performance."
13,-30OXPwAAAAJ,2021,Differentiation strategy and cost leadership strategy: Their contribution to achieving sustainable financial performance,"This research aims to study the influence of differentiation and cost-leadership strategy on sustainable financial performance with innovation as the moderator variable. This research uses the last 5 years financial report of go-public companies in South-East Asia, with a total of 250 firm years. In the early stage of the research, the companies are grouped into their respective strategy. From that grouping, each strategy is then measured. The researcher uses 5 measurements to test the strategies, 2 for differentiation strategy and 3 for cost-leadership strategy. The finding of this research is that differentiation positively influences sustainable financial performance, with innovation as the moderator variable. However, these findings are not proved in cost leadership strategy. Innovation shows partially influences to the achievement of sustainable financial performance. This research contributes to adding the innovation …"
14,-30OXPwAAAAJ,2021,Business strategy and environmental performance,"Business strategy choices are very influential in a company’s environmental performance. Companies that choose the cost leadership strategy tend to streamline their expenses which leads to them overlooking the environmental cost. Meanwhile, differentiation strategy encourages companies to accommodate environmental costs to fulfill customers’ demands. Therefore, this research aims to examine the impacts of the strategy choices on environmental performance, which has not been focused on by previous researchers. This research’s samples are public companies that are consistently participating in the PROPER program during the 2012-2017 period. 228 company years fulfill the sample criteria. The data are processed using the GRETL application that is fit for processing the panel data. We apply two proxies to measure each strategy choice. Cost leadership is proxied with EPAS and SPPE while differentiation is measured with SGAS and SCGS. This research’s findings are, firstly, companies that choose the cost leadership strategy have lower environmental performances, and, secondly, companies with differentiation strategy have high environmental performances. However, not all proxies used to measure the cost leadership and differentiation strategies support the impacts of strategy choices on environmental responsibilities performance."
15,-30OXPwAAAAJ,2020,Does mandatory CSR provide long-term benefits to shareholders,
16,-30OXPwAAAAJ,2019,Tension Management Strategy in the implementation of Sustainability Agenda,"The global demands on sustainability agenda reflect the paradoxical situation experienced by every business entities. This condition forces the organization to solve problems that are seemingly impossible to be solved. There is a need for a swift and clever strategy that allows the management to run the organization in a paradoxical reality. Tension management strategy is the key of success for the companies who manage the conflicts that arise between individuals or individual and companies regarding the choices of sustainable activities. Companies may not yet realize the choice of strategies done in managing the tension, strategy mapping will help giving a practical image of the strategies implemented by the companies. The success of the companies in doing sustainable mission will be the basis of the success of their financial performance."
17,-30OXPwAAAAJ,2019,Employee engagement fail to boost the relationship between learning organization and financial performance,"This research paper sets out to investigate the gaps in hospitality industry issues and facts in Surabaya, Indonesia. In order to substantiate future studies about employee engagement. Learning Organization constructed by seventh dimension DLOQ as measurement (continuous learning, inquiry and dialogue, collaboration and team learning, empower people, create systems, connect the organization, strategic leadership) to influence Employee Engagement with three constructs (Physical, Cognitive and Emotional) and Financial Performance with six constructs (ROA, ROE, Sales Growth, Net Profit, Market Share, Profit Growth). This research was trying to investigate the gap between hospitality industry issues and facts, also investigate the relationship of Employee Engagement as an intervening variable between Learning Organization and Financial Performance supported by Organizational Psychology and Organizational Behavior Theories. Therefore, this research trying to empirically and practically contributions for future managerial implication. The study conducted 50 full-service dining restaurant company as unit analysis in Surabaya, Indonesia. Using a questionnaire as an instrument of the measurements were 241 questionnaire collected. The result of this research Learning Organization has partially and directly influence Employee Engagement and Financial Performance supported by Organizational Psychology and Organizational Behavior Theories."
18,-30OXPwAAAAJ,2019,The power of stakeholders in the management compliance with environmental responsibility issues in Indonesia,"The objectives of this research were to find which the dominant stakeholders that pushed management to comply with the environmental responsibility and to examine the effect of environmental performance on financial performance. This research adopted Ullman’s three-dimensional framework to explain the stakeholders’ power. Stakeholders’ power was proxied by the power of shareholders, government, and customers. Then, PROPER rating measured the environmental performance. All Indonesian listed companies in all industrial sectors incorporating in the PROPER program were selected as the research sample. It resulted in 462 observations in the period of 2002- 2017. PROPER was a company performance assessment program in environmental management. The Indonesian government initiated it through the Ministry of Environment and Forestry. This research also included various control variables (firm size, firm age, level of competitiveness, and leverage). Ordinary Least Square (OLS) was used to analyze data. The results show that the government’s power and customer’s power consistently influences the managers to comply with environmental issues. Meanwhile, the powers of the shareholder do not influence it. In the case of financial performance, the result supports the prior researchers that the higher rates of environmental performance are, the higher the powers of shareholders and customers will significantly be improved."
19,-30OXPwAAAAJ,2019,The Value Relevance of Environmental Responsibility Performance,"In Indonesia, research on the value relevance of non-financial information is still very rare, while several studies outside Indonesia also show mixed results. This leaves a challenge to test the value relevance of environmental performance information. This research was conducted in the period of 2010 to 2017, with companies that consistently became PROPER participants for 8 consecutive periods as its research subjects. The result shows that environmental performance information provides additional value relevance, which is indicated by an increase in R squared after entering environmental performance variables"
20,-30OXPwAAAAJ,2019,The Information Asymmetry and Corporate Social Responsibility Disclosure,
21,kKnF37QAAAAJ,2025,Impact of the Russia–Ukraine War: evidence from G20 countries,
22,-KoeN4wAAAAJ,2025,The moderating role of blockchain technology in ESG disclosure and operational efficiency: evidence from the banking sector in ASEAN and European stock market,"This paper aims to examine further how blockchain technology (BT) and environmental, social, and governance disclosure (ESGD) may be able to affect operational efficiency (OE). Additionally, examines BT as a moderating variable between ESGD and operational efficiency in the banking industry. The results revealed that BT positively affects OE. Moreover, one ESG pillar, governance (GOV) has a significant influence on OE. In terms of the moderation effects of BT, this paper shows that BT could moderate the relationship between social (SOC) and governance (GOV) on OE. The applications of BT have proven to benefit firms in information transparency, financial performance, and stability, hence creating operational efficiency. This paper contributes to the roles of BT, whether as an independent or as a moderating variable that could strengthen the relationship between ESGD and OE. The research also aligns …"
23,-KoeN4wAAAAJ,2025,EXPLORING THE IMPACT OF CUSTOMER EXPERIENCE ON WORDOF-MOUTH MARKETING IN TAIWAN'S MICHELIN-STARRED RESTAURANTS: OVERALL SATISFACTION AS MEDIATOR FROM TRIPADVISOR,"This study combines Prospect Theory and quantile mediation analysis to explore the impact of customer experience (CX) on Word-of-mouth Marketing (WOMM) for Michelin-starred restaurants in Taiwan, with a special focus on the mediating role of overall satisfaction (OSAT). The data spans 2018 to 2024, including customer reviews from TripAdvisor. com and Google Maps Local Guides. The results indicate that CX significantly enhances OSAT at all quantiles of overall satisfaction but only significantly affects WOMM at 0.80 quantiles of WOMM. These findings indicate a diminishing marginal utility of customer experience at higher satisfaction levels. This study reveals the importance of enhancing customer experience to improve overall satisfaction and subsequent Word-of-mouth Marketing across different levels of customer satisfaction."
24,-KoeN4wAAAAJ,2024,The Effect of Corporate Social Responsibility on Firm Value During COVID-19,"This study reviews the relationship between corporate social responsibility (CSR), firm size, and the leverage on firm value. Panel data analysis is performed to test the sample in basic industries and the chemical sector over the years 2017-2020. To investigate any significant differences between CSR and firm value prior to the COVID-19 pandemic (years 2016–2019) and during the pandemic (years 2020), the authors performed paired sample t-testing. The results imply that the beneficial relevance of CSR performance could assist businesses in protecting their value at the start of a financial catastrophe, such as the COVID-19 pandemic. Therefore, during the COVID-19 era, businesses must continue to invest in CSR initiatives to maintain stakeholders' trust. This research advances previous CSR studies by offering further clarification on the conflicting results currently available about the influence of CSR on firm value during the COVID-19 period. Further research is necessary to determine whether the effects of CSR during the second year of the COVID-19 period differ from those during the pre-crisis period and the first year of the COVID-19 period."
25,kKnF37QAAAAJ; YDTHPu0AAAAJ,2024,Eyeballing internal auditors’ and the firms’ intention to adopt Metaverse technologies: case study in Indonesia,"This paper aims to give broad insights into what components can significantly influence the adoption of Metaverse from the perspective of internal auditors and their firms in Indonesia.This research used primary data from questionnaires. Relying on the empirical view of 202 internal auditors in Indonesia, this research’s framework is executed using structural equation model. Company’s intention in adopting the Metaverse technology intervenes in the influence of perception of external control and usefulness on the internal auditor’s intention to adopt that technology.The perception of external control and perceived usefulness of Metaverse significantly influenced the adoption intention of Metaverse by internal auditors and their firms in Indonesia. This paper is helpful for practitioners who would like to know what factors are needed to make the internal auditors in …"
26,nUgsEucAAAAJ; kKnF37QAAAAJ,2024,"Financial naivety, excessive gaming, and compulsive buying influence cryptocurrency continuance intention: the mediating role of overconfidence and risk tolerance","This study seeks to investigate the investment persistence among individuals who have maintained cryptocurrency holdings in the previous year. Financial naivety, online compulsive buying, and excessive gaming behaviours influence continuance intention, either through overconfidence or risk tolerance. The sample comprised 1,097 participants selected from the five provinces of Indonesia's most significant internet user bases. Structural equation modeling is utilised in this study. This study demonstrates that excessive gaming behaviour and financial naivety are associated with continuance intention, either directly or indirectly, via overconfidence or risk tolerance. Investors should be cautious regarding their financial naivety and excessive gaming behaviour, as these elements increase the tendency to be overly optimistic. The findings are consistent with the Dunning-Kruger effect. Conversely, this study fail to …"
27,kKnF37QAAAAJ,2023,COVID-19 catastrophes and stock market liquidity: evidence from technology industry of four biggest ASEAN capital market,"This study examines the influence of various COVID-19 catastrophes variables on the stock market liquidity, considering the market depth and market tightness in the technology industry of the four biggest ASEAN capital markets.The study utilised the panel data regression analysis obtained from 177 listed technology companies across the four ASEAN countries from March 2, 2020 to June 30, 2021 using the random effect and weighted least squares. The study also supported the result with robustness test, implementing the quantile regression to further present companies' segmentation within the variables.The regression results indicate that daily growth COVID-19 confirmed cases and stringency that adversely impacted the stock market liquidity. Confirmed deaths were also found to have a detrimental effect on the stock market liquidity. On the other hand …"
28,-KoeN4wAAAAJ,2023,"The Influence of Return on Equity, Environmental Risk Management and Stock Performance on Corporate Sustainability Performance","This study aims to determine the relationship between a firm's financial and environmental performance and the quality of the resulting corporate sustainability report. The analysis is conducted on 36 Indonesian listed firms in three sectors: primary industry and chemicals, mining, and consumer goods. Pooled Ordinary Least Square (OLS) model is used to identify the strength of the relationship between the independent and dependent variables. The results show that, with firm age and size serving as the control variables, Return on Equity, Stock Performance, and Environmental Risk Management considerably positively affect a firm's Corporate Sustainability Performance (CSP). According to the findings, the independent variables ROE, environmental risk management, and stock performance impact the firm's corporate sustainability performance quality, which is significant over the long run. Therefore, businesses should consider improving CSP quality as a strategic investment and maintain a solid rapport with stakeholders. By examining how a firm's financial performance and environmental risk management affect the quality of CSP, this study contributes to the CSP field."
29,-KoeN4wAAAAJ,2023,The effect of internal corporate governance mechanisms toward corporate social responsibility disclosures: evidence found in Indonesia listed mining industry,"This research attempts to scrutinize the impact of managerial ownership, board independence, and female directors on board toward the Corporate Social Disclosure Index (CSID) to observe how a company's internal corporate governance mechanism affects the intensity of CSR disclosure. CSR disclosure is measured by a standardized approach of GRI G4 framework as the reporting standard. CSR Disclosure analysis was undergone on 34 listed mining companies in Indonesia during the observation years of 2016 to 2020. It is found that managerial ownership significantly negatively impacts a firm's sustainability disclosure. In contrast, the remaining variables consisting of board independence and female directors on board have an insignificant effect on a firm's sustainability disclosure, with firm size, firm leverage, and firm profitability acting as the control variables. This study expands previous literature on the CSR disclosure level with only the sole impact of board characteristics by adding another managerial ownership variable besides independent and female board members. Furthermore, the observation period has also been extended from 2016 to 2020 to accommodate the changing of the board members."
30,kKnF37QAAAAJ,2023,Working capital management and board diversity towards firm performances in Indonesia's LQ45,"This study examines the effect of working capital management and board diversity on firm profitability and firm value for a sample of Indonesian firms listed in the LQ45 index. The interaction of board diversity components with working capital management adds a comprehensive discussion to enhancing working capital management efficiency.This study engages a panel multiple regression method. Data from a sample of LQ45 companies from 2010 to 2016 are analysed using a fixed and a common effect model. Board diversity is further analysed in interaction variables, whether it holds the moderating role in the relationship of working capital and firm performances. This study operates return on capital employed (ROCE) as the proxy of profitability performance and EVA-Spread for the firm's value performance. The simultaneous effect test is used for the robustness test …"
31,nUgsEucAAAAJ; kKnF37QAAAAJ,2023,Rational versus irrational behavior of Indonesian cryptocurrency owners in making investment decision,"The purpose of this study is to investigate the salient factors that influence Indonesian cryptocurrency owners in making their investment decision. This study employs intergroup bias, subjective norms, overborrowing, and spending control to explain cryptocurrency investment behavior. The questionnaire was collected from 309 respondents from the five largest internet user areas: Jakarta, Surabaya, Bandung, Semarang, and Medan. This study executes the research framework using binary logistic regression. The results reveal that intergroup bias and overborrowing are the most impulsive factors contributing to the cryptocurrency investment decisions over the past year. Furthermore, after November 2021, Indonesian crypto owners are more irrational in a bearish period since their investment decisions are driven by their desire to be accepted in the social group. Moreover, when they have overindebtedness, instead of solving their debt problems, they prefer to spend their money on cryptocurrency investments. The subjective norms’ influencers suggest that crypto owners not invest when the cryptocurrency price is sharply declining. The findings contribute to the dual-systems perspective and social contagion theories, enriching the empirical study regarding investment behavior."
32,kKnF37QAAAAJ,2023,Voluntary intellectual capital disclosure and earnings forecast in Indonesia–Malaysia–Thailand growth triangle's pharmaceuticals sector,
33,kKnF37QAAAAJ,2022,Corporate Social Responsibility Disclosure and ISO 14001 Application on the Risk and Profitability of Indonesia’s Consumer Products Industry,"The purpose of this paper is to examine the impact of CSR disclosure on Indonesia’s consumer-branded product company’s risk and profitability with the effect of applying ISO 14001. Indonesian manufacturing companies are determined from all of the manufacturing companies listed in the IDX from the period 2017 - 2020. With the observation years from 2017 to 2020, panel data is collected from 56 companies with 224 company years. Weighted least square is the statistical approach conducted to test the hypothesis. It is discovered that ISO14001 has managed to be the moderating variable for CSR disclosure of the company’s risk. But on the other hand, the supplication of ISO 14001 cannot be a moderating variable for the relationship between CSR disclosure and profitability."
34,kKnF37QAAAAJ,2022,The contributing factors of intellectual capital disclosures in agriculture and mining sectors of Indonesia and Thailand,"This study aims to examine the factors affecting intellectual capital disclosure (ICD), especially in the agriculture and mining sectors in Indonesia and Thailand. Additionally, this study discusses the difference in ICD levels between Indonesia and Thailand.The sample used is companies listed on the Indonesia Stock Exchange and Stock Exchange of Thailand from 2013 to 2017. The method used is a content analysis of 380 annual reports (150 from Thailand and 230 from Indonesia). This study uses a panel regression model. Variables tested are firm size, market shares, minority shareholders, profitability, leverage and the focus on ICD components such as human capital disclosure, structural capital disclosure and relational capital disclosure.IC disclosures in financial statements are generally oriented to past events and focus more on the human capital component …"
35,-KoeN4wAAAAJ,2022,"Total reward system, job satisfaction and employee productivity on company financial performance: evidence from Indonesian Generation Z workers","PurposeThe study of monetary and non-monetary rewards from the human resource management (HRM) perspective has rarely been analyzed so far. There has been extensive study on HRM, yet only a few studies explicitly discuss the correlation between the adoption of a total reward system (TRS) and employee-related outcomes. This paper aims to analyze this important issue to provide inputs for organizations to design compensation strategies that will impact on company’s financial performance with employee productivity and job satisfaction as mediating variables specifically for Generation Z."
36,kKnF37QAAAAJ,2022,The long-term performance of post-merger and acquisition: evidence from Indonesia's stock market,"This study evaluates the long-term share performance of firms over three years after they underwent merger and acquisition (M&A). This is happening since researchers failed to find answers in the short-term analysis and began looking for answers through long-term analysis. Most previous studies have been done either in big capital markets (US and the UK) or smaller capital markets such as Greece and Malaysia but not Indonesia. The share performance was measured through cumulative market adjusted abnormal return (CMAR) and buy and hold abnormal return (BHAR). The result of this study provides evidence of the presence of negative abnormal returns of the merged and acquiring firms. Moreover, the results show that cash payments are preferable in comparison to the share settlement. The results also reveal that the firms which are owned by families tend to outperform the firms which are not owned by …"
37,kKnF37QAAAAJ,2022,The influence of corporate social responsibility on share price before and after tax amnesty,"With a purpose to provide a more profound clarification in regards to socially and environmentally responsible cultures among Indonesian natural resources industry, this study highlights the empirical confirmation on the correlation between corporate social responsibility (CSR) and share price. Kinder, Lydenberg, and Domini's (KLD) measurement approach is used as a basis to assess CSR performance since it gives more social rating transparency. Panel data analysis and paired sample T test are carried out on 83 Indonesian listed firms in the natural resources industry. The study finds a significant difference in the CSR performance and Tax Amnesty between before and after tax periods. The empirical result suggests that the CSR performance serves as a tool in assisting investors to value share prices. This is the first study, which observes and proves that tax amnesty 2016 gives a significant impact on …"
38,kKnF37QAAAAJ,2022,Drivers of voluntary intellectual capital disclosure in agriculture companies listed in IMT-GT countries,"This study intends to examine the drivers of disclosing intellectual capital for a sample of agriculture firms listed in Indonesia, Malaysia, Thailand Growth Triangle (IMT-GT) countries. The authors read the annual reports by analysing the content and use quantitative data from the Bloomberg terminal. Ordinary least square (OLS) analysis is conducted to test the hypothesis and identify the correlation between variables. It is revealed that factors affect intellectual capital disclosure, such as firm size, ownership concentration, and auditor type. The findings help regulators understand better and use the factors that explain the company's intellectual capital disclosure in the development of future recommendations. Moreover, it is the first study to explore the IMT-GT relationship for intellectual capital disclosure topics. The cooperation has provided positive signals to the economic growth, thus made it enjoyable to look further …"
39,kKnF37QAAAAJ,2022,The CSR performance and earning management practice on the market value of conventional banks in Indonesia,"This study examined the effect of the components of corporate social responsibility (CSR) and earnings management on market value, measured using Tobin's Q. CSR is measured by using KLD Index, while earnings management used discretionary loan loss provision. The GMM-SYS (generalized method of moment system) dynamic panel data method is employed to examine the research framework on conventional banks listed in Indonesia Stock Exchange. Among six components in CSR disclosures, only corporate governance, environmental and product disclosures are favorable for bank's market value. Furthermore, earnings management had a positive impact on market value. Empirical result indicated that CSR functions as a part of bank strategic moves in order to survive the highly dynamical business environment. Since CSR inflicts additional costs for the company, they must perform CSR efficiently while …"
40,kKnF37QAAAAJ,2021,"Corporate social responsibility, job pursuit intention, quality of work life and employee performance: case study from Indonesia controversial industry","This paper aims to examine whether companies in Indonesian controversial industries can rely on their corporate social responsibility (CSR) practices to improve potential employees' job pursuit intention, which lead to a higher quality of work life (QWL) and a better performance from their employees.The target respondents are interns, staff and supervisors of 42 Indonesian listed companies in controversial industries. The data collection method is performed by distributing questionnaires using a seven-point Likert scale. Collected data using partial least squares (PLS) analysis are conducted and tested.Consistent with the existing result, the authors find out that potential employees have a higher intention to join and accept a job offer from companies with a higher level of CSR practices. Regarding the corporate social responsibility, it is further proven to have a positive …"
41,-sZJOTUAAAAJ,2025,Relationship Beyond the Task: Leader-Member Exchange and Organizational Citizenship Behavior on Indonesian Generation Z Employees,"The Indonesian hospitality industry must reengage a high-quality workforce composed of Generation Z, recognizing both its strengths and challenges. To achieve this, leaders should adopt a positive approach to fostering high-quality leader-member exchange (LMX) relationships, which can encourage employees to exhibit organizational citi-zenship behavior (OCB). However, there is currently a lack of research specifically examining the relationship between LMX and OCB among Generation Z employees in the Indonesian hospitality sector. This study seeks to address this gap by exploring the application of LMX dimensions and their influence on enhancing OCB within the context of Generation Z employees in the Indonesian hospitality industry. Employing a quantitative causal research design, the study analyzed data from a sample of 300 Generation Z employees working in the sector. The findings reveal that LMX has a positive and significant impact on OCB. Among the LMX dimensions, professional respect emerged as the most influential, followed by affect, contribution, and loyalty. This study highlights the critical role of leaders in recognizing and valuing the profes-sionalism of Generation Z employees as a means to foster positive extra-role behaviors. These findings underscore the importance of leadership strategies that prioritize ap-preciation and respect to enhance employee engagement and performance."
42,7FcA5H4AAAAJ; -sZJOTUAAAAJ; cj33DRMAAAAJ,2024,The influence of psychological capital in the hotel industry following the COVID-19 pandemic,"Covid-19 pandemic has impacted tourism sector terribly due to travel restrictions. Various methods have been implemented by the government to reinstate the confidence of society towards tourism destinations’ safety. East Java is one of the provinces becoming the government’s main focus for tourism recovery, and when people finally return, accommodation service is becoming necessity. Hotel’s management and staff need to perform numbers of adjustments to regain its visitors’ confidence and convenience upon using provided products and services. Hotel’s employees are expected to provide excellent service and performance. Thus, every member of the property is expected to possess positive psychological condition in order to be able to process and proceed with necessary operational changes on the place. This positive psychological state is often called as psychological capital (psycap). Employees with a higher psycap should have a higher readiness for change, which leads to a better job performance. Data collection through online questionnaires survey, with purposive sampling from 385 respondents. Quantitative data analysis using Partial Least Square (PLS) SEM. The findings show that psycap has a positive and significant impact on both readiness for change and job performance. Additionally, readiness for change positively and significantly influences job performance and serves as a mediating variable between psycap and job performance. This research aids management in understanding the connection between psycap, readiness for change, and job performance, particularly in the hotel industry."
